2025-08-14 09:13:09 [    INFO] test_execution [535efe81]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup)
2025-08-14 09:13:13 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 09:13:13 [    INFO] src.pages.login_page.LoginPage [535efe81]: Starting step: Navigate to SauceDemo login page
2025-08-14 09:13:13 [    INFO] src.pages.login_page.LoginPage [535efe81]: Navigating to URL: https://www.saucedemo.com
2025-08-14 09:13:14 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 09:13:14 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 09:13:14 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 09:13:15 [    INFO] src.pages.login_page.LoginPage [535efe81]: Navigation completed in 1.96s
2025-08-14 09:13:15 [    INFO] src.pages.login_page.LoginPage [535efe81]: Login page loaded successfully
2025-08-14 09:13:15 [    INFO] src.pages.login_page.LoginPage [535efe81]: Step completed: Navigate to SauceDemo login page
2025-08-14 09:13:15 [    INFO] src.pages.login_page.LoginPage [535efe81]: Verifying login page is loaded
2025-08-14 09:13:15 [    INFO] src.pages.login_page.LoginPage [535efe81]: Login page verification successful
2025-08-14 09:13:15 [    INFO] src.pages.login_page.LoginPage [535efe81]: Starting login process for user: standard_user
2025-08-14 09:13:16 [    INFO] src.pages.login_page.LoginPage [535efe81]: Login successful for user: standard_user
2025-08-14 09:13:16 [    INFO] src.pages.inventory_page.InventoryPage [535efe81]: Verifying inventory page is loaded
2025-08-14 09:13:16 [    INFO] src.pages.inventory_page.InventoryPage [535efe81]: Inventory page verification successful
2025-08-14 09:13:19 [    INFO] src.pages.inventory_page.InventoryPage [535efe81]: Adding first inventory item to cart
2025-08-14 09:13:20 [    INFO] src.pages.inventory_page.InventoryPage [535efe81]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 09:13:21 [    INFO] test_execution [535efe81]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup) (duration: 11.23s)
