2025-08-14 08:51:27 [    INFO] test_execution [73bedc7c]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup)
2025-08-14 08:51:29 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 08:51:29 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Starting step: Navigate to SauceDemo login page
2025-08-14 08:51:29 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Navigating to URL: https://www.saucedemo.com
2025-08-14 08:51:30 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 08:51:30 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 08:51:30 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 08:51:31 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Navigation completed in 1.37s
2025-08-14 08:51:31 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Login page loaded successfully
2025-08-14 08:51:31 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Step completed: Navigate to SauceDemo login page
2025-08-14 08:51:31 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Verifying login page is loaded
2025-08-14 08:51:31 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Login page verification successful
2025-08-14 08:51:31 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Starting login process for user: standard_user
2025-08-14 08:51:32 [    INFO] src.pages.login_page.LoginPage [73bedc7c]: Login successful for user: standard_user
2025-08-14 08:51:32 [    INFO] src.pages.inventory_page.InventoryPage [73bedc7c]: Verifying inventory page is loaded
2025-08-14 08:51:32 [    INFO] src.pages.inventory_page.InventoryPage [73bedc7c]: Inventory page verification successful
2025-08-14 08:51:35 [    INFO] src.pages.inventory_page.InventoryPage [73bedc7c]: Adding first inventory item to cart
2025-08-14 08:51:36 [    INFO] src.pages.inventory_page.InventoryPage [73bedc7c]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 08:51:36 [    INFO] test_execution [73bedc7c]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup) (duration: 8.97s)
