2025-08-13 18:43:50 [    INFO] test_execution [d0548f5c]: Starting test: tests/ui/test_inventory_list_count.py::test_inventory_displays_exactly_six_items[webkit] (setup)
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:43:51 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:43:51 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:43:51 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Navigation completed in 0.88s
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Login page loaded successfully
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Verifying login page is loaded
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Login page verification successful
2025-08-13 18:43:51 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Starting login process for user: standard_user
2025-08-13 18:43:53 [    INFO] src.pages.login_page.LoginPage [d0548f5c]: Login successful for user: standard_user
2025-08-13 18:43:53 [    INFO] src.pages.inventory_page.InventoryPage [d0548f5c]: Verifying inventory page is loaded
2025-08-13 18:43:53 [    INFO] src.pages.inventory_page.InventoryPage [d0548f5c]: Inventory page verification successful
2025-08-13 18:43:53 [    INFO] src.pages.inventory_page.InventoryPage [d0548f5c]: Found 6 inventory items
2025-08-13 18:43:53 [    INFO] test_execution [d0548f5c]: Test completed: tests/ui/test_inventory_list_count.py::test_inventory_displays_exactly_six_items[webkit] (setup) (duration: 2.47s)
