2025-08-13 18:49:04 [    INFO] test_execution [09ef3c07]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart_updates_badge[webkit] (setup)
2025-08-13 18:49:06 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-13 18:49:06 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:49:06 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:49:06 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:49:06 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:49:07 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:49:07 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Navigation completed in 1.24s
2025-08-13 18:49:07 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Login page loaded successfully
2025-08-13 18:49:07 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:49:07 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Starting login process for user: standard_user
2025-08-13 18:49:08 [    INFO] src.pages.login_page.LoginPage [09ef3c07]: Login successful for user: standard_user
2025-08-13 18:49:08 [    INFO] src.pages.inventory_page.InventoryPage [09ef3c07]: Verifying inventory page is loaded
2025-08-13 18:49:08 [    INFO] src.pages.inventory_page.InventoryPage [09ef3c07]: Inventory page verification successful
2025-08-13 18:49:11 [    INFO] src.pages.inventory_page.InventoryPage [09ef3c07]: Adding first inventory item to cart
2025-08-13 18:49:12 [    INFO] src.pages.inventory_page.InventoryPage [09ef3c07]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-13 18:49:13 [    INFO] test_execution [09ef3c07]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart_updates_badge[webkit] (setup) (duration: 9.01s)
