2025-08-13 18:53:06 [    INFO] test_execution [de783bd7]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_added_item_appears_in_cart_page[firefox] (setup)
2025-08-13 18:53:07 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:53:07 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:53:07 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:53:08 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Navigation completed in 1.30s
2025-08-13 18:53:08 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Login page loaded successfully
2025-08-13 18:53:08 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:53:08 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Starting login process for user: standard_user
2025-08-13 18:53:09 [    INFO] src.pages.login_page.LoginPage [de783bd7]: Login successful for user: standard_user
2025-08-13 18:53:09 [    INFO] src.pages.inventory_page.InventoryPage [de783bd7]: Verifying inventory page is loaded
2025-08-13 18:53:09 [    INFO] src.pages.inventory_page.InventoryPage [de783bd7]: Inventory page verification successful
2025-08-13 18:53:09 [    INFO] src.pages.inventory_page.InventoryPage [de783bd7]: Adding first inventory item to cart
2025-08-13 18:53:10 [    INFO] src.pages.inventory_page.InventoryPage [de783bd7]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-13 18:53:10 [    INFO] src.pages.inventory_page.InventoryPage [de783bd7]: Clicking shopping cart link
2025-08-13 18:53:10 [    INFO] src.pages.inventory_page.InventoryPage [de783bd7]: Successfully navigated to cart page
2025-08-13 18:53:10 [    INFO] src.pages.cart_page.CartPage [de783bd7]: Verifying cart page is loaded
2025-08-13 18:53:10 [    INFO] src.pages.cart_page.CartPage [de783bd7]: Cart page verification successful
2025-08-13 18:53:10 [    INFO] src.pages.cart_page.CartPage [de783bd7]: Found 1 items in cart
2025-08-13 18:53:10 [    INFO] src.pages.cart_page.CartPage [de783bd7]: Found 1 items in cart
2025-08-13 18:53:10 [    INFO] src.pages.cart_page.CartPage [de783bd7]: Found 1 items in cart
2025-08-13 18:53:10 [    INFO] test_execution [de783bd7]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_added_item_appears_in_cart_page[firefox] (setup) (duration: 4.04s)
