2025-08-14 06:56:24 [    INFO] test_execution [479e1252]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup)
2025-08-14 06:56:30 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 06:56:30 [    INFO] src.pages.login_page.LoginPage [479e1252]: Starting step: Navigate to SauceDemo login page
2025-08-14 06:56:30 [    INFO] src.pages.login_page.LoginPage [479e1252]: Navigating to URL: https://www.saucedemo.com
2025-08-14 06:56:30 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 06:56:31 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 06:56:31 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 06:56:31 [    INFO] src.pages.login_page.LoginPage [479e1252]: Navigation completed in 1.44s
2025-08-14 06:56:31 [    INFO] src.pages.login_page.LoginPage [479e1252]: Login page loaded successfully
2025-08-14 06:56:31 [    INFO] src.pages.login_page.LoginPage [479e1252]: Step completed: Navigate to SauceDemo login page
2025-08-14 06:56:31 [    INFO] src.pages.login_page.LoginPage [479e1252]: Verifying login page is loaded
2025-08-14 06:56:31 [    INFO] src.pages.login_page.LoginPage [479e1252]: Login page verification successful
2025-08-14 06:56:31 [    INFO] src.pages.login_page.LoginPage [479e1252]: Starting login process for user: standard_user
2025-08-14 06:56:32 [    INFO] src.pages.login_page.LoginPage [479e1252]: Login successful for user: standard_user
2025-08-14 06:56:32 [    INFO] src.pages.inventory_page.InventoryPage [479e1252]: Verifying inventory page is loaded
2025-08-14 06:56:32 [    INFO] src.pages.inventory_page.InventoryPage [479e1252]: Inventory page verification successful
2025-08-14 06:56:36 [    INFO] src.pages.inventory_page.InventoryPage [479e1252]: Adding first inventory item to cart
2025-08-14 06:56:37 [    INFO] src.pages.inventory_page.InventoryPage [479e1252]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 06:56:37 [    INFO] test_execution [479e1252]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup) (duration: 12.65s)
