2025-08-13 18:43:16 [    INFO] test_execution [e6017095]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart_updates_badge[firefox] (setup)
2025-08-13 18:43:17 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-13 18:43:17 [    INFO] src.pages.login_page.LoginPage [e6017095]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:43:17 [    INFO] src.pages.login_page.LoginPage [e6017095]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:43:18 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:43:18 [    INFO] src.pages.login_page.LoginPage [e6017095]: Navigation completed in 1.60s
2025-08-13 18:43:18 [    INFO] src.pages.login_page.LoginPage [e6017095]: Login page loaded successfully
2025-08-13 18:43:18 [    INFO] src.pages.login_page.LoginPage [e6017095]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:43:18 [    INFO] src.pages.login_page.LoginPage [e6017095]: Starting login process for user: standard_user
2025-08-13 18:43:20 [    INFO] src.pages.login_page.LoginPage [e6017095]: Login successful for user: standard_user
2025-08-13 18:43:20 [    INFO] src.pages.inventory_page.InventoryPage [e6017095]: Verifying inventory page is loaded
2025-08-13 18:43:20 [    INFO] src.pages.inventory_page.InventoryPage [e6017095]: Inventory page verification successful
2025-08-13 18:43:23 [    INFO] src.pages.inventory_page.InventoryPage [e6017095]: Adding first inventory item to cart
2025-08-13 18:43:24 [    INFO] src.pages.inventory_page.InventoryPage [e6017095]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-13 18:43:24 [    INFO] test_execution [e6017095]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart_updates_badge[firefox] (setup) (duration: 7.89s)
