2025-08-14 08:50:03 [    INFO] test_execution [20ec3b7c]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[firefox] (setup)
2025-08-14 08:50:04 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 08:50:04 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Starting step: Navigate to SauceDemo login page
2025-08-14 08:50:04 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Navigating to URL: https://www.saucedemo.com
2025-08-14 08:50:05 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 08:50:05 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Navigation completed in 1.17s
2025-08-14 08:50:05 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Login page loaded successfully
2025-08-14 08:50:05 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Step completed: Navigate to SauceDemo login page
2025-08-14 08:50:05 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Verifying login page is loaded
2025-08-14 08:50:05 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Login page verification successful
2025-08-14 08:50:05 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Starting login process for user: standard_user
2025-08-14 08:50:07 [    INFO] src.pages.login_page.LoginPage [20ec3b7c]: Login successful for user: standard_user
2025-08-14 08:50:07 [    INFO] src.pages.inventory_page.InventoryPage [20ec3b7c]: Verifying inventory page is loaded
2025-08-14 08:50:07 [    INFO] src.pages.inventory_page.InventoryPage [20ec3b7c]: Inventory page verification successful
2025-08-14 08:50:10 [    INFO] src.pages.inventory_page.InventoryPage [20ec3b7c]: Adding first inventory item to cart
2025-08-14 08:50:11 [    INFO] src.pages.inventory_page.InventoryPage [20ec3b7c]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 08:50:11 [    INFO] test_execution [20ec3b7c]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[firefox] (setup) (duration: 7.55s)
