2025-08-13 18:49:26 [    INFO] test_execution [f5448787]: Starting test: tests/ui/test_inventory_list_count.py::test_inventory_items_have_complete_information[webkit] (setup)
2025-08-13 18:49:27 [    INFO] src.pages.login_page.LoginPage [f5448787]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:49:27 [    INFO] src.pages.login_page.LoginPage [f5448787]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:49:27 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:49:27 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:49:27 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:49:27 [    INFO] src.pages.login_page.LoginPage [f5448787]: Navigation completed in 0.91s
2025-08-13 18:49:28 [    INFO] src.pages.login_page.LoginPage [f5448787]: Login page loaded successfully
2025-08-13 18:49:28 [    INFO] src.pages.login_page.LoginPage [f5448787]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:49:28 [    INFO] src.pages.login_page.LoginPage [f5448787]: Starting login process for user: standard_user
2025-08-13 18:49:29 [    INFO] src.pages.login_page.LoginPage [f5448787]: Login successful for user: standard_user
2025-08-13 18:49:29 [    INFO] src.pages.inventory_page.InventoryPage [f5448787]: Verifying inventory page is loaded
2025-08-13 18:49:29 [    INFO] src.pages.inventory_page.InventoryPage [f5448787]: Inventory page verification successful
2025-08-13 18:49:29 [    INFO] src.pages.inventory_page.InventoryPage [f5448787]: Found 6 inventory items
2025-08-13 18:49:29 [    INFO] test_execution [f5448787]: Test completed: tests/ui/test_inventory_list_count.py::test_inventory_items_have_complete_information[webkit] (setup) (duration: 2.36s)
