2025-08-14 09:12:45 [    INFO] test_execution [c2103ea9]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[firefox] (setup)
2025-08-14 09:12:46 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 09:12:46 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Starting step: Navigate to SauceDemo login page
2025-08-14 09:12:46 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Navigating to URL: https://www.saucedemo.com
2025-08-14 09:12:46 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 09:12:47 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Navigation completed in 1.48s
2025-08-14 09:12:47 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Login page loaded successfully
2025-08-14 09:12:47 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Step completed: Navigate to SauceDemo login page
2025-08-14 09:12:47 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Verifying login page is loaded
2025-08-14 09:12:47 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Login page verification successful
2025-08-14 09:12:47 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Starting login process for user: standard_user
2025-08-14 09:12:49 [    INFO] src.pages.login_page.LoginPage [c2103ea9]: Login successful for user: standard_user
2025-08-14 09:12:49 [    INFO] src.pages.inventory_page.InventoryPage [c2103ea9]: Verifying inventory page is loaded
2025-08-14 09:12:49 [    INFO] src.pages.inventory_page.InventoryPage [c2103ea9]: Inventory page verification successful
2025-08-14 09:12:52 [    INFO] src.pages.inventory_page.InventoryPage [c2103ea9]: Adding first inventory item to cart
2025-08-14 09:12:53 [    INFO] src.pages.inventory_page.InventoryPage [c2103ea9]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 09:12:53 [    INFO] test_execution [c2103ea9]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[firefox] (setup) (duration: 7.86s)
