2025-08-13 18:43:30 [    INFO] test_execution [6c7b84aa]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart_updates_badge[webkit] (setup)
2025-08-13 18:43:32 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-13 18:43:32 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:43:32 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:43:33 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:43:33 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:43:33 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:43:33 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Navigation completed in 1.29s
2025-08-13 18:43:33 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Login page loaded successfully
2025-08-13 18:43:33 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:43:33 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Starting login process for user: standard_user
2025-08-13 18:43:35 [    INFO] src.pages.login_page.LoginPage [6c7b84aa]: Login successful for user: standard_user
2025-08-13 18:43:35 [    INFO] src.pages.inventory_page.InventoryPage [6c7b84aa]: Verifying inventory page is loaded
2025-08-13 18:43:35 [    INFO] src.pages.inventory_page.InventoryPage [6c7b84aa]: Inventory page verification successful
2025-08-13 18:43:38 [    INFO] src.pages.inventory_page.InventoryPage [6c7b84aa]: Adding first inventory item to cart
2025-08-13 18:43:39 [    INFO] src.pages.inventory_page.InventoryPage [6c7b84aa]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-13 18:43:39 [    INFO] test_execution [6c7b84aa]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart_updates_badge[webkit] (setup) (duration: 9.32s)
