2025-08-14 06:57:24 [    INFO] test_execution [87b62b15]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[firefox] (setup)
2025-08-14 06:57:25 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 06:57:25 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Starting step: Navigate to SauceDemo login page
2025-08-14 06:57:25 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Navigating to URL: https://www.saucedemo.com
2025-08-14 06:57:25 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 06:57:26 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Navigation completed in 1.11s
2025-08-14 06:57:26 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Login page loaded successfully
2025-08-14 06:57:26 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Step completed: Navigate to SauceDemo login page
2025-08-14 06:57:26 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Verifying login page is loaded
2025-08-14 06:57:26 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Login page verification successful
2025-08-14 06:57:26 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Starting login process for user: standard_user
2025-08-14 06:57:27 [    INFO] src.pages.login_page.LoginPage [87b62b15]: Login successful for user: standard_user
2025-08-14 06:57:27 [    INFO] src.pages.inventory_page.InventoryPage [87b62b15]: Verifying inventory page is loaded
2025-08-14 06:57:27 [    INFO] src.pages.inventory_page.InventoryPage [87b62b15]: Inventory page verification successful
2025-08-14 06:57:30 [    INFO] src.pages.inventory_page.InventoryPage [87b62b15]: Adding first inventory item to cart
2025-08-14 06:57:31 [    INFO] src.pages.inventory_page.InventoryPage [87b62b15]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 06:57:32 [    INFO] test_execution [87b62b15]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[firefox] (setup) (duration: 7.58s)
