2025-08-14 09:03:34 [    INFO] test_execution [ac7a41ec]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup)
2025-08-14 09:03:36 [    INFO] src.utils.data_loader [unknown]: Successfully loaded YAML data: users.yaml
2025-08-14 09:03:36 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Starting step: Navigate to SauceDemo login page
2025-08-14 09:03:36 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Navigating to URL: https://www.saucedemo.com
2025-08-14 09:03:37 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-14 09:03:37 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 09:03:37 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-14 09:03:38 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Navigation completed in 1.67s
2025-08-14 09:03:38 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Login page loaded successfully
2025-08-14 09:03:38 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Step completed: Navigate to SauceDemo login page
2025-08-14 09:03:38 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Verifying login page is loaded
2025-08-14 09:03:38 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Login page verification successful
2025-08-14 09:03:38 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Starting login process for user: standard_user
2025-08-14 09:03:39 [    INFO] src.pages.login_page.LoginPage [ac7a41ec]: Login successful for user: standard_user
2025-08-14 09:03:39 [    INFO] src.pages.inventory_page.InventoryPage [ac7a41ec]: Verifying inventory page is loaded
2025-08-14 09:03:39 [    INFO] src.pages.inventory_page.InventoryPage [ac7a41ec]: Inventory page verification successful
2025-08-14 09:03:42 [    INFO] src.pages.inventory_page.InventoryPage [ac7a41ec]: Adding first inventory item to cart
2025-08-14 09:03:43 [    INFO] src.pages.inventory_page.InventoryPage [ac7a41ec]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-14 09:03:44 [    INFO] test_execution [ac7a41ec]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_add_first_item_to_cart[webkit] (setup) (duration: 9.88s)
