2025-08-13 18:44:09 [    INFO] test_execution [6f5dce70]: Starting test: tests/ui/test_add_first_item_to_cart.py::test_added_item_appears_in_cart_page[chromium] (setup)
2025-08-13 18:44:10 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Starting step: Navigate to SauceDemo login page
2025-08-13 18:44:10 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Navigating to URL: https://www.saucedemo.com
2025-08-13 18:44:10 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:44:10 [    INFO] browser.console [unknown]: [error] Failed to load resource: the server responded with a status of 401 (Unauthorized)
2025-08-13 18:44:10 [    INFO] browser.console [unknown]: [log] Content is cached for offline use.
2025-08-13 18:44:10 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Navigation completed in 0.68s
2025-08-13 18:44:10 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Login page loaded successfully
2025-08-13 18:44:10 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Step completed: Navigate to SauceDemo login page
2025-08-13 18:44:10 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Starting login process for user: standard_user
2025-08-13 18:44:11 [    INFO] src.pages.login_page.LoginPage [6f5dce70]: Login successful for user: standard_user
2025-08-13 18:44:11 [    INFO] src.pages.inventory_page.InventoryPage [6f5dce70]: Verifying inventory page is loaded
2025-08-13 18:44:11 [    INFO] src.pages.inventory_page.InventoryPage [6f5dce70]: Inventory page verification successful
2025-08-13 18:44:11 [    INFO] src.pages.inventory_page.InventoryPage [6f5dce70]: Adding first inventory item to cart
2025-08-13 18:44:12 [    INFO] src.pages.inventory_page.InventoryPage [6f5dce70]: Successfully added 'Sauce Labs Backpack' to cart
2025-08-13 18:44:12 [    INFO] src.pages.inventory_page.InventoryPage [6f5dce70]: Clicking shopping cart link
2025-08-13 18:44:12 [    INFO] src.pages.inventory_page.InventoryPage [6f5dce70]: Successfully navigated to cart page
2025-08-13 18:44:12 [    INFO] src.pages.cart_page.CartPage [6f5dce70]: Verifying cart page is loaded
2025-08-13 18:44:12 [    INFO] src.pages.cart_page.CartPage [6f5dce70]: Cart page verification successful
2025-08-13 18:44:13 [    INFO] src.pages.cart_page.CartPage [6f5dce70]: Found 1 items in cart
2025-08-13 18:44:13 [    INFO] src.pages.cart_page.CartPage [6f5dce70]: Found 1 items in cart
2025-08-13 18:44:13 [    INFO] src.pages.cart_page.CartPage [6f5dce70]: Found 1 items in cart
2025-08-13 18:44:13 [    INFO] test_execution [6f5dce70]: Test completed: tests/ui/test_add_first_item_to_cart.py::test_added_item_appears_in_cart_page[chromium] (setup) (duration: 3.11s)
