"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Testing","0","Inventory Management","3","0","Inventory Item Validation","0"
"0","UI Testing","0","Shopping Cart","3","0","Add Item to Cart","0"
"0","UI Testing","0","Inventory Management","3","0","Inventory Item Count","0"
"0","API Testing","0","Airport Data","1","0","Airport Count Validation","0"
"0","API Testing","0","Airport Data Retrieval","1","0","Airport Details Validation","0"
"0","API Testing","0","Distance Calculation","1","0","Bidirectional Distance","0"
"0","API Testing","0","Airport Data Retrieval","1","0","Specific Airport Verification","0"
"0","API Testing","0","Airport Data Retrieval","1","0","Case Sensitivity","0"
"0","API Testing","0","Distance Calculation","1","0","Error Handling","0"
"0","API Testing","0","Distance Calculation","1","0","Distance API Performance","0"
"0","API Testing","0","Distance Calculation","1","0","KIX to NRT Distance","0"
